======================================================================
CAPTURA DE TRÁFEGO MTA
======================================================================

Servidor: 94.23.158.180
Porta MTA: 22003
IPv4 local: 192.168.18.2
Interface Scapy: \Device\NPF_{A53A13E5-54FE-4F67-8537-8D554F42DF25}
Tempo: 79.46 segundos
Pacotes: 10739
Motivo: gta_sa.exe foi encerrado

======================================================================
LISTA DE PACOTES
======================================================================

000001 | 192.168.18.2    -> 94.23.158.180   | UDP 62715->22126     | packet=   43 | payload=    1
000002 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   93 | payload=   51
000003 | 192.168.18.2    -> 94.23.158.180   | TCP 52882->443       | packet=   66 | payload=    0
000004 | 94.23.158.180   -> 192.168.18.2    | UDP 22126->62715     | packet= 1378 | payload= 1336
000005 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=  146 | payload=  104
000006 | 94.23.158.180   -> 192.168.18.2    | TCP 443->52882       | packet=   62 | payload=    0
000007 | 192.168.18.2    -> 94.23.158.180   | TCP 52882->443       | packet=   54 | payload=    0
000008 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   93 | payload=   51
000009 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   67 | payload=   25
000010 | 192.168.18.2    -> 94.23.158.180   | TCP 52882->443       | packet=  487 | payload=  433
000011 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   71 | payload=   29
000012 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000013 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   63 | payload=   21
000014 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=  129 | payload=   87
000015 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000016 | 94.23.158.180   -> 192.168.18.2    | TCP 443->52882       | packet=   60 | payload=    0
000017 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=  147 | payload=  105
000018 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   68 | payload=   26
000019 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   63 | payload=   21
000020 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   63 | payload=   21
000021 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   91 | payload=   49
000022 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   94 | payload=   52
000023 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   63 | payload=   21
000024 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   99 | payload=   57
000025 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000026 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   76 | payload=   34
000027 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000028 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   63 | payload=   21
000029 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   63 | payload=   21
000030 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   63 | payload=   21
000031 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   63 | payload=   21
000032 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet= 1004 | payload=  962
000033 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   63 | payload=   21
000034 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   63 | payload=   21
000035 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000036 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=  449 | payload=  407
000037 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000038 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=  256 | payload=  214
000039 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   63 | payload=   21
000040 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   74 | payload=   32
000041 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000042 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   95 | payload=   53
000043 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   63 | payload=   21
