=== CORRELAÇÃO S2C -> C2S ===

S2C #000067 len=1165 -> respostas:
   C2S #000068 len=17 dt=0.12ms B7 E9 B3 1A A3 A0 D9 49 1D 90 DF 7F 8E 67 F9 95
   C2S #000070 len=55 dt=41.05ms 10 69 12 71 E4 E0 2B 5F 9C 62 28 A7 D2 BB A5 01
   C2S #000073 len=17 dt=88.56ms 94 6F 4D C7 D2 16 4F 4E 71 C0 AB 38 10 69 0C 54
   C2S #000075 len=45 dt=110.28ms 9B FD C8 2B 2C 8A AC 35 49 45 A7 20 3D B0 FC F1
   C2S #000076 len=55 dt=146.28ms 62 50 43 60 C3 44 C8 3D 66 84 0D BC 66 F8 2B 98
   C2S #000078 len=17 dt=173.30ms E5 C5 BB 00 FA 06 20 22 CB FD 3E BB 0C E2 8B C3
   C2S #000079 len=55 dt=245.36ms 2D CE 8B E0 A4 64 59 3A F3 00 D1 D6 C7 A7 68 54
   C2S #000081 len=17 dt=248.47ms 18 94 A6 12 E4 F1 93 50 BB 58 C8 44 D0 6D A2 7D
   C2S #000084 len=55 dt=354.95ms 5C 35 1F 7D 16 47 D7 7F 05 C4 06 9A B3 75 A8 04
   C2S #000086 len=17 dt=384.83ms A5 A8 03 8E 07 62 2A A6 86 CF BE 6C B4 39 F8 CA

S2C #000072 len=1165 -> respostas:
   C2S #000073 len=17 dt=0.36ms 94 6F 4D C7 D2 16 4F 4E 71 C0 AB 38 10 69 0C 54
   C2S #000075 len=45 dt=22.08ms 9B FD C8 2B 2C 8A AC 35 49 45 A7 20 3D B0 FC F1
   C2S #000076 len=55 dt=58.09ms 62 50 43 60 C3 44 C8 3D 66 84 0D BC 66 F8 2B 98
   C2S #000078 len=17 dt=85.10ms E5 C5 BB 00 FA 06 20 22 CB FD 3E BB 0C E2 8B C3
   C2S #000079 len=55 dt=157.16ms 2D CE 8B E0 A4 64 59 3A F3 00 D1 D6 C7 A7 68 54
   C2S #000081 len=17 dt=160.27ms 18 94 A6 12 E4 F1 93 50 BB 58 C8 44 D0 6D A2 7D
