ordem,captura,tempo,direcao,src,sport,dst,dport,udp_length,payload_len,entropia,ascii_ratio,md5,sha256,prefixo_32
1,2,1788463744.678430,C2S,192.168.18.2,62714,94.23.158.180,22003,59,51,4.686844,0.215686,722685edfd41ee35c0d4fb3ae1e59491,576da6c65719ea13a5ef17253953423dc9ab3f226869842bf94ca5d2ff8c33cd,09 04 D1 99 38 07 78 07 15 9E D3 EC 75 51 3A C9 27 38 00 FF 00 FF FE FE FE FE FD FD FD FD 78 56
2,5,1788463744.886078,S2C,94.23.158.180,22003,192.168.18.2,62714,112,104,5.637906,0.586538,32a44574beaa7d6e82037a574979333f,c1255aabdde1173a3fb8061db1397e06ab03157d9fa7942855de463abb0a8a67,0A 00 FF 00 FF FE FE FE FE FD FD FD FD 78 56 34 17 F8 25 65 01 AF AA B2 CD 62 E6 11 92 E3 80 C5
3,8,1788463744.886696,C2S,192.168.18.2,62714,94.23.158.180,22003,59,51,5.476347,0.372549,c879015189829214714c0642b1874794,73bb6cb1e11859b3b494a6b895dbc78274893136db9169cff1a0beaed8d2a26f,60 59 29 9C E5 24 4E D0 0D AE AD 88 F5 76 EB A2 EB EA B2 C6 91 C5 6B 70 C7 76 81 1D 9A 84 90 3E
4,9,1788463744.886739,C2S,192.168.18.2,62714,94.23.158.180,22003,33,25,4.563856,0.360000,46104e4fa353034fa8fdc24f63268d9b,6573f7049dd2c32bdd7cccad383b3f678824051b361a861f19f458284b7b42e7,09 A9 23 AC D6 E6 B8 95 04 35 44 B6 6C F1 0F B7 35 C7 63 92 4B 0E EE 4C D3
5,11,1788463745.093762,S2C,94.23.158.180,22003,192.168.18.2,62714,37,29,4.789015,0.310345,d5e898c57571a74d0292367e33d5d20d,beea75b36eb6ca1621bfea33db1f4de47f1d4d209d529735a49e03cc12da857e,78 A2 20 F0 A6 53 17 A1 1C A7 8D 19 A0 D5 91 7E B1 27 61 F4 8F ED F2 88 F7 A6 3E 33 2F
6,12,1788463745.093769,S2C,94.23.158.180,22003,192.168.18.2,62714,25,17,3.969816,0.352941,e7ce95112cae3492910e2645de92848a,c9153179c8ba77b99803c6925774f7d0f379396733544a7453f3a92ec4b7da8c,F2 CA 3A 25 C5 F5 25 AD 8A 7A B5 51 D1 C6 92 7E 1C
7,13,1788463745.094115,C2S,192.168.18.2,62714,94.23.158.180,22003,29,21,4.297079,0.428571,a13620daff29ffcdc1b02aab851a8748,d83d039f4d1f436a402937fb377d5265d8aa2353198e80eb1859655fd5d03546,A0 EC BE B3 38 DC E1 60 27 52 8B 3B 48 E1 B9 77 A6 04 AD 3C 68
8,14,1788463745.095668,S2C,94.23.158.180,22003,192.168.18.2,62714,95,87,6.213058,0.494253,7511966ccb7a3d4a5d7149f35fc8e94e,255a196acb69ebf7609550280b2b759d73eb68000accb7a1176d59368c962877,80 4D 95 FC 44 C6 E1 0D B8 05 82 BE 59 41 F1 0B 2F 41 91 2A 55 16 43 A4 02 18 E0 52 10 FE 24 5D
9,15,1788463745.099331,C2S,192.168.18.2,62714,94.23.158.180,22003,25,17,4.087463,0.352941,8ec62660f7af3301402a292a51d2a501,c983790ab28cdfd13db83d40102685beffb56e3e571f83a83ea729bcc228c32b,CE 19 84 3F 5C 6A 96 CC 03 E0 08 42 CA B5 37 B8 4E
10,17,1788463745.129659,C2S,192.168.18.2,62714,94.23.158.180,22003,113,105,6.421342,0.409524,9e6b4d8201cdef6040e3d47f890a80ab,81faaab6b8ddd9d391756c3a278744e02f6cd63aca985496cefdd87b7ab782fc,47 E3 E1 34 3A 76 D3 71 DC ED A2 98 EF E6 D7 51 55 60 63 C8 E6 8B 18 E8 EB 44 46 D2 DC 57 3D 5E
11,18,1788463745.160598,C2S,192.168.18.2,62714,94.23.158.180,22003,34,26,4.623517,0.615385,5be059544d687600b5aa8af59219044d,762baa9b666c3c0234bb52c88da7f7405fe625b52d0b28d3d4fd4bf04e2d1698,D4 5F 6C 5D 13 4B 53 58 B5 21 33 FD 01 3C FA D0 0B 39 6D 8C 49 71 6B 67 21 98
12,19,1788463745.295806,S2C,94.23.158.180,22003,192.168.18.2,62714,29,21,4.392317,0.285714,72501736505b74863838b5e57337e6ec,11b9a3fd53a0ffe1edecaaa599b8e99a52b016ca110d91fa2b20cd88216f26c3,C1 A1 DD 7F 0D F3 F8 55 F0 9B 86 CF 02 D6 27 DB 97 2C 65 82 58
13,20,1788463745.335860,S2C,94.23.158.180,22003,192.168.18.2,62714,29,21,4.201841,0.428571,20d3de664b604b234ff0687c8c5725d7,9ac0cd90693ee5a6b7f3e8264b416853b7176a6c31d0fc1f9abe54e16fc69b30,8D E2 AE B0 EB 59 B7 59 35 BC 66 F4 22 57 5F DA B3 46 C3 8C 22
14,21,1788463745.337958,S2C,94.23.158.180,22003,192.168.18.2,62714,57,49,5.313590,0.448980,8a59c8e6b5c61674f729be1cc25365de,023319ef09580f2b6f2e5eb93c90980e05a37d6287aac5e4e30a71ffff044059,FC 86 42 8C 49 FA 7C E6 15 EB 40 2D 9F 1A F7 DE DE 50 95 54 50 B6 C3 60 9E E4 FC F2 12 5B 94 55
15,22,1788463745.341958,S2C,94.23.158.180,22003,192.168.18.2,62714,60,52,5.469670,0.365385,9d819f0cd63bc41fa7c2ff42031419a0,c71df6922e4775cf98417c7b5ee25df81adacc2eea615141f2d345d5e15931af,98 7A D3 3D D5 5D 86 B0 01 B9 5B ED 3E 8F D8 A2 D5 F4 5B 79 B7 63 13 E5 C9 72 3C D6 D1 55 3F F0
16,23,1788463745.347174,C2S,192.168.18.2,62714,94.23.158.180,22003,29,21,4.392317,0.333333,9a7300d906798b91ed577172cf06a7ef,6ea4985c58660f370e344d4c8aa10a2d095c6f91e568e5259501c25ada1b9d7d,9F 6B D6 4B D3 35 94 96 FB 26 9D AB B8 50 05 8B 83 F2 6E 75 DF
17,24,1788463745.362695,C2S,192.168.18.2,62714,94.23.158.180,22003,65,57,5.692539,0.508772,b69bf29a4029bc594b6ee3d4f8106622,74d4bd66d43ee702edcdaa8dddd089230020c4171f9d5ceaa5b07ac6c66dc08a,5C EB AE 5D A3 19 77 59 35 BC 66 97 23 57 5F C8 39 45 A6 D8 BE 17 71 BD E2 F3 88 72 42 AA 2B F2
18,25,1788463745.367849,S2C,94.23.158.180,22003,192.168.18.2,62714,25,17,3.969816,0.411765,960cd292d692d98abd199d095c575057,18c2dd1d9760a833243596afb14ddcf08da4cea367c9239ada44fbfa17795aa4,BB B5 DD 93 7D 0C 78 AA 0E 65 78 52 FC 2B DA 26 EF
19,26,1788463745.369835,S2C,94.23.158.180,22003,192.168.18.2,62714,42,34,5.087463,0.264706,1d6976d55be6f30731e5e165fa582135,d3b0dda8057c78ec8d856f88bd3e469fc5405cb54e5e393a0f950fae5f6ed3af,B5 4B 92 98 3E 97 EC 02 F7 EA EF B1 E4 E3 17 89 33 41 94 E1 F8 F2 C9 C0 15 7C B9 EB 39 A7 71 F1
20,27,1788463745.377389,C2S,192.168.18.2,62714,94.23.158.180,22003,25,17,3.969816,0.294118,d9a4178de74f19772762e9e45aca6dca,746caebeda54fc0e780b66a1f6ebee99cb801adb2b99e20d8b163019e39f67a5,DE C2 52 8E B9 03 69 F3 70 3D B0 9B FC B9 31 BE 18
21,28,1788463745.570176,S2C,94.23.158.180,22003,192.168.18.2,62714,29,21,4.392317,0.380952,b3ef4afe5c0bd33d282f4db09cb6fe6f,186c2a1201f354d79c69630712a9609f517cf8f93f7b298053020737037c0290,08 C9 A9 99 DD 26 80 C3 28 BB 4A 82 00 43 6E 63 B6 35 86 22 F5
22,29,1788463745.582615,C2S,192.168.18.2,62714,94.23.158.180,22003,29,21,4.392317,0.428571,d015299a6d42fffe034e1b9f3f190a10,7da3fd1f49bded33fe73f877784bc89800fead16aaeb1f94559f64e08f4f4704,5D 55 90 82 BD E3 4E F9 A6 A0 49 42 96 EA 75 6E 44 2B DA E1 BA
23,30,1788463745.770334,S2C,94.23.158.180,22003,192.168.18.2,62714,29,21,4.297079,0.380952,8a830a87fc13272f3594038c4f91914a,fefb5dd481e354b642288b60d383b4d230211905ba6570a62a668f327d8c36bb,4C EF 2D 6D 61 B3 74 D7 F2 F1 7F 93 C9 DF E3 28 8D 68 99 F1 3F
24,31,1788463745.794198,C2S,192.168.18.2,62714,94.23.158.180,22003,29,21,4.392317,0.523810,c076fb921e6fc41dd5c34b17668ceb52,188b72747fbb0290d77bccea48e9fc80ba996e7d7af164b6539c690f4a5423aa,75 9D 49 B2 20 02 66 88 BE 6B 1D C0 C8 47 D3 40 31 09 72 4E A1
25,32,1788463745.807400,C2S,192.168.18.2,62714,94.23.158.180,22003,970,962,7.799529,0.361746,e162604db5f5854563ca19a2a7ed8baf,c31ae70c6fd88ca937ae5c8ed27383aa526b22020fdfb5119af492c9d0a8af23,4C CE F1 EB 2D 50 CF 5C 20 EC 67 E0 1E 54 20 1A C2 1B 1A 9D DB FD 4F 83 CE 87 C1 D2 20 8E 22 74
26,33,1788463745.970714,S2C,94.23.158.180,22003,192.168.18.2,62714,29,21,4.297079,0.285714,a0358f11096a969a2629e7481c4ef5ae,a42ccb726354083805f3cb7eb86b55f1ec7bb90dc8f14550b871282c3ccfd46e,56 75 FE D3 41 F2 B6 8B D8 27 91 D5 2A 73 9B 0C F0 B8 10 D5 E9
27,34,1788463746.007447,C2S,192.168.18.2,62714,94.23.158.180,22003,29,21,4.297079,0.190476,2a704dba9512637e6fd374a1f2967902,c4a3b6b0811d8d6c5cd058ce52c78b3fb8fae834f056717d2ba0aa3dbb262cc6,C2 E3 F1 8B D5 6F 8F A3 DE 12 99 1F 63 A9 DD FF BA 0D 2E 8A DE
28,35,1788463746.014877,S2C,94.23.158.180,22003,192.168.18.2,62714,25,17,3.969816,0.470588,54759b6a3dc828fae633db1e5e65ac6f,ea1f066f3321f92aae06fead97e938327ad16e0d18172299b4f88d74aae177ec,F7 31 9B FF 61 EF 70 D5 FD C5 2C 31 E6 5E 55 D2 34
