
================================================================================
PREFIXOS DE 1 BYTE(S)
================================================================================
        64x  95
        59x  AA
        59x  86
        57x  F2
        57x  79
        56x  34
        56x  4B
        55x  C7
        54x  E4
        54x  40
        54x  67
        54x  91
        53x  55
        53x  A1
        53x  21
        52x  78
        52x  FC
        52x  3E
        52x  2D
        52x  70
        52x  C4
        52x  1B
        52x  8C
        52x  E7
        51x  9F
        51x  5A
        51x  9A
        51x  5E
        50x  CB
        50x  A3
        50x  B4
        50x  B9
        50x  F9
        50x  A7
        49x  AD
        49x  B3
        49x  68
        49x  DA
        49x  8F
        48x  16
        48x  47
        48x  2B
        48x  D0
        48x  CD
        48x  E5
        48x  E3
        48x  B6
        48x  76
        48x  7F
        48x  8A
        48x  83
        48x  49
        48x  43
        48x  1A
        48x  7C
        48x  32
        47x  C2
        47x  EE
        47x  38
        47x  39
        47x  6B
        47x  42
        47x  FD
        47x  01
        47x  2E
        46x  C1
        46x  51
        46x  B2
        46x  0F
        46x  22
        46x  26
        46x  B0
        46x  05
        46x  52
        45x  A0
        45x  08
        45x  56
        45x  C9
        45x  E0
        45x  4E
        45x  84
        45x  06
        45x  7B
        45x  ED
        45x  36
        45x  C6
        45x  71
        45x  3C
        45x  04
        45x  EB
        44x  69
        44x  77
        44x  48
        44x  88
        44x  50
        44x  AF
        44x  DC
        44x  96
        44x  E2
        44x  BF
        44x  57
        44x  59
        43x  5C
        43x  C0
        43x  31
        43x  1F
        43x  10
        43x  F4
        43x  FF
        43x  46
        43x  82
        43x  F8
        43x  FB
        43x  EF
        43x  AE
        43x  87
        43x  15
        43x  12
        42x  80
        42x  18
        42x  CA
        42x  8B
        42x  D3
        42x  9D
        42x  8E
        42x  53
        42x  3F
        42x  DD
        42x  29
        42x  64
        42x  D8
        42x  65
        42x  D9
        42x  AB
        42x  BE
        41x  72
        41x  BB
        41x  F7
        41x  B1
        41x  85
        41x  44
        41x  94
        41x  A5
        41x  EA
        41x  5F
        41x  66
        41x  61
        41x  FE
        41x  41
        41x  BD
        41x  73
        41x  28
        41x  19
        41x  A2
        41x  F5
        41x  3B
        41x  6F
        40x  CE
        40x  D4
        40x  2C
        40x  DF
        40x  F3
        40x  DB
        40x  D2
        40x  F0
        40x  6C
        40x  E8
        39x  5D
        39x  E6
        39x  35
        39x  7E
        39x  F6
        39x  F1
        39x  6E
        39x  BC
        39x  23
        39x  6A
        39x  0E
        39x  63
        39x  C8
        38x  8D
        38x  3A
        38x  A6
        38x  E1
        38x  C5
        38x  7D
        38x  24
        38x  17
        38x  14
        37x  09
        37x  97
        37x  EC
        37x  33
        37x  20
        37x  58
        37x  74
        37x  25
        37x  0D
        37x  02
        36x  45

================================================================================
PREFIXOS DE 2 BYTE(S)
================================================================================
         3x  80 4D
         3x  38 6F
         3x  22 3F
         3x  5E DA
         3x  E3 3A
         3x  86 2E
         3x  F9 8C
         3x  3D FB
         3x  FC 89
         3x  5E A2
         3x  DD AA
         3x  C0 CB
         3x  59 95
         3x  CA CE
         3x  FB 77
         3x  4E B6
         3x  0A EA
         3x  47 77
         3x  F6 C8
         3x  F3 9A
         3x  AA FE
         3x  44 62
         3x  AE 9F
         3x  34 98
         3x  EB D8
         3x  67 71
         3x  79 23
         3x  06 AE
         3x  4E AE
         3x  2B FD
         3x  E0 30
         3x  01 FD
         3x  92 B8
         3x  52 FB
         3x  FF 13
         3x  6D AF
         3x  57 7C
         3x  06 A2
         3x  5E 88
         3x  A2 1D
         2x  78 A2
         2x  C1 A1
         2x  B5 4B
         2x  DE C2
         2x  4C EF
         2x  C2 E3
         2x  A8 07
         2x  CB 56
         2x  08 AE
         2x  95 C1
         2x  0A 3B
         2x  9B FD
         2x  A1 5B
         2x  A5 A8
         2x  8B 45
         2x  D0 E0
         2x  76 10
         2x  00 AB
         2x  95 16
         2x  B3 99
         2x  F7 8F
         2x  98 64
         2x  48 4D
         2x  E5 2B
         2x  E6 7A
         2x  26 69
         2x  B6 3E
         2x  B7 A2
         2x  72 1C
         2x  D6 29
         2x  75 DE
         2x  72 8D
         2x  6B F7
         2x  AF 03
         2x  FF 3E
         2x  A0 6A
         2x  AD 73
         2x  B0 A1
         2x  82 AC
         2x  2C 14
         2x  77 F7
         2x  83 FC
         2x  F6 96
         2x  4F 11
         2x  66 DC
         2x  FC BB
         2x  53 B0
         2x  BF 41
         2x  1E CD
         2x  7C A2
         2x  91 D4
         2x  9A 6C
         2x  36 B7
         2x  82 8D
         2x  EC 42
         2x  0C 37
         2x  71 8B
         2x  8C F0
         2x  B2 63
         2x  4B B5
         2x  E2 4D
         2x  C7 A7
         2x  D2 98
         2x  89 E7
         2x  38 47
         2x  83 2C
         2x  E5 DC
         2x  09 B7
         2x  45 B5
         2x  3E 1D
         2x  7B 9E
         2x  CE B6
         2x  88 17
         2x  21 A5
         2x  41 AD
         2x  01 19
         2x  67 28
