
================================================================================
SEQUÊNCIAS REPETIDAS: 2 BYTES
================================================================================
       165x  4F 5A
       153x  01 01
       147x  B8 47
       146x  68 80
       145x  59 87
       143x  7C 46
       141x  39 4C
       141x  42 CF
       141x  7F A9
       140x  BF B3
       139x  AC 69
       138x  55 D2
       138x  B5 03
       137x  09 1E
       137x  46 66
       136x  9C 62
       136x  0E AC
       136x  28 FB
       135x  98 12
       135x  5F 9C
       135x  FE DF
       134x  A0 3D
       134x  59 73
       133x  AE 50
       133x  38 09
       133x  E6 72
       133x  5A F7
       133x  2C 44
       133x  08 B3
       133x  BB AB
       132x  CE 8B
       132x  90 DF
       132x  18 1F
       131x  06 04
       131x  6F 33
       131x  6E 68
       131x  4E 8D
       131x  74 35
       130x  01 B9
       130x  C3 99
       130x  04 3A
       130x  09 A2
       129x  B2 06
       129x  70 BA
       129x  1E F0
       129x  77 AB
       128x  C6 54
       128x  49 1D
       128x  BA 1C
       128x  DD 7E
       128x  82 79
       128x  11 59
       128x  48 DA
       128x  B9 DB
       128x  DB 34
       127x  D7 24
       127x  69 5E
       127x  7F ED
       127x  91 DD
       127x  17 A3
       127x  AD 61
       127x  D4 9D
       127x  36 A6
       126x  BF 21
       126x  A6 69
       126x  E5 B9
       125x  79 63
       125x  22 00
       125x  B0 01
       125x  02 F7
       125x  61 D4
       125x  7D FB
       125x  8A 2E
       125x  6A F1
       125x  30 1B
       125x  AB 2E
       125x  14 D9
       125x  76 47
       125x  67 4F
       125x  3F A5
       125x  52 77
       125x  12 B5
       124x  B9 5B
       124x  95 E3
       124x  14 C8
       124x  27 19
       124x  3B 65
       124x  FC 97
       124x  BE 60
       124x  F6 00
       124x  8F 4E
       123x  09 E7
       123x  D1 97
       123x  F0 3B
       123x  4C E5
       123x  AA E3
       123x  C5 29
       123x  D9 AC
       123x  E1 BF
       123x  11 5F
       122x  35 04
       122x  F1 73
       122x  1F FE
       122x  FD DF
       122x  3F 95
       122x  8E 8D
       122x  D1 FF
       122x  68 84
       122x  66 2A
       122x  99 77
       122x  BC 49
       122x  C9 79
       122x  87 12
       121x  E0 08
       121x  58 B5
       121x  B1 D0
       121x  2A BC
       121x  2E 30
       121x  63 56
       121x  67 90
       121x  0C 0F
       121x  C4 9E
       121x  8D 5F
       121x  5E E2
       121x  13 BF
       121x  89 1F
       121x  24 20
       121x  28 0C
       120x  FE 24
       120x  B5 21
       120x  98 E1
       120x  C3 44
       120x  16 7E
       120x  E3 D3
       120x  E4 7D
       120x  7B B4
       120x  5D 98
       120x  A9 07
       120x  F4 F5
       120x  47 3E
       120x  2D 54
       120x  21 73
       120x  75 8F
       120x  76 12
       120x  EE EE
       119x  A5 72
       119x  39 72
       119x  A6 86
       119x  9C 2C
       119x  00 E8
       119x  72 70
       119x  96 A6
       119x  65 02
       119x  D2 71
       119x  00 12
       119x  DA CE
       119x  20 85
       119x  DB C3
       119x  6D 6B
       119x  47 60
       119x  73 7F
       119x  F9 31
       119x  F2 F6
       118x  F0 82
       118x  22 CB
       118x  40 95
       118x  9E 6C
       118x  D1 09
       118x  1D C7
       118x  25 10
       118x  15 C2
       118x  E9 8B
       118x  F7 9B
       118x  A2 DB
       118x  EC F3
       118x  9D F4
       118x  94 D5
       118x  84 D8
       118x  4E 41
       118x  1E 32
       118x  CB BA
       117x  0B 5B
       117x  98 C1
       117x  FB 26
       117x  C8 74
       117x  EE 91
       117x  7A 8E
       117x  3B 0C
       117x  80 09
       117x  8A EB
       117x  94 B1
       117x  10 1B
       117x  1B FF
       117x  22 C2
       117x  90 BD
       117x  F8 96
       117x  1B 6C
       117x  D4 87
       117x  44 C9
       116x  D3 C0

================================================================================
SEQUÊNCIAS REPETIDAS: 3 BYTES
================================================================================
        60x  DB C3 44
        60x  76 12 B5
        58x  5F 9C 62
        58x  9C 62 28
        58x  2A BC 49
        58x  A2 DB C3
        58x  12 B5 03
        57x  01 01 01
        57x  0E AC 69
        57x  AC 69 5E
        57x  67 4F 5A
        57x  4F 5A F7
        57x  BC 49 2A
        57x  11 59 87
        57x  59 87 12
        56x  01 B9 5B
        56x  E6 72 70
        56x  FC 97 68
        56x  97 68 D0
        55x  B0 01 B9
        55x  38 09 A2
        55x  7C 46 66
        55x  68 80 09
        55x  03 EE EE
        55x  EE EE 91
        54x  CE D7 24
        54x  00 F0 3B
